Station,Year,max_temp,min_temp,humadity,Total Rainfall (mm),Cloud Coverage (Octs),Sunshine (Hours),Wind Speed (m/s),Amon_area,Amon_production,Aus_area,Aus_production,Jute_area,Jute_production
Mymensingh,1970,29.88,20.76833333,74.975,162.1666667,3.525,,0.281666667,1501670,687190,1089970,325685,471100,1378335
Patuakhali,1970,,,,0,,,,0,0,126740,39200,2780,5635
Rajshahi,1970,31.01916667,20.50916667,72.58166667,125.5833333,3.971666667,,0.929166667,1111420,544415,474080,173860,118420,275560
Rangamati,1970,30.56333333,22.3525,79.35833333,213.6666667,4.006666667,,1.571666667,,,,,,
Rangpur,1970,30.67833333,18.88333333,83.22916667,166.4166667,2.79,,0.843333333,1209490,622025,906800,324985,357260,992865
Sandwip,1970,29.34416667,23.12583333,87.39916667,254.9166667,2.565,,2.0925,,,,,,
Satkhira,1970,31.06833333,20.8675,81.00833333,128.6666667,3.4875,,0.84,,,,,,
Sitakunda,1970,,,,0,,,,,,,,,
Srimongal,1970,30.13916667,19.06333333,83.03833333,191.9166667,3.4275,,0.595,,,,,,
Syedpur,1970,,,,0,,,,,,,,,
Sylhet,1970,29.05583333,20.035,79.775,456.1666667,4.243333333,7.1325,1.4425,1223850,629510,360260,164960,22195,68130
Tangail,1970,,,,0,,,,0,0,0,0,0,0
Teknaf,1970,,,,0,,,,,,,,,
Ambagan,1979,,,,0,,,,,,,,,
Barisal,1979,30.85,21.56416667,79.93,193.75,3.029166667,7.840833333,0.9625,,,,,,
Bhola,1979,30.20916667,21.39833333,83.2775,0,3.581666667,,0,,,,,,
Bogra,1979,31.78416667,21.16166667,72.46333333,185.5833333,2.995,8.004166667,1.238333333,597820,344630,292100,120680,60575,181555
Chandpur,1979,30.01416667,20.7525,79.5675,163.4166667,3.278333333,6.706666667,0.665,,,,,,
Chittagong,1979,30.09,21.73,76.83416667,237.5833333,3.28,7.888333333,3.571666667,573240,371815,217115,154065,315,727
Chuadanga,1979,,,,0,,,,,,,,,
Comilla,1979,30.34416667,21.28416667,77.925,121.75,2.584166667,,1.854166667,898490,475120,464690,237135,105275,371620
Cox's Bazar,1979,30.15416667,21.98416667,78.42416667,64.75,3.470833333,7.630833333,1.5775,,,,,,
Dhaka,1979,30.83,21.6975,74.4275,153.0833333,3.4225,7.063333333,1.1225,734595,358310,380420,160060,167250,628470
Dinajpur,1979,30.2725,19.7725,74.24,144,2.9175,,0.728333333,807740,427875,497925,201895,74680,207880
Faridpur,1979,30.70583333,21.92666667,75.80166667,150.75,3.474166667,,0.533333333,724100,273335,551100,150380,194195,627195
Feni,1979,31.08416667,21.67833333,79.35166667,224.9166667,3.340833333,,0.6225,,,,,,
Hatiya,1979,30.02166667,22.81083333,75.955,281.6666667,2.911666667,,1.69,,,,,,
Ishurdi,1979,31.49416667,20.58916667,68.75666667,129.6666667,3.256666667,,2.003333333,,,,,,
Jessore,1979,31.38083333,21.3625,72.07666667,137.5833333,3.466666667,7.120833333,2.0875,660790,303740,619325,261270,220440,749035
Khepupara,1979,30.40583333,22.16,80.19416667,244.4166667,3.583333333,,2.8475,,,,,,
Khulna,1979,31.43416667,22.74166667,75.3375,152.75,2.629166667,,0.705,922595,475495,110175,50365,51775,161339
Kutubdia,1979,,,80.87166667,41.16666667,,,2.085833333,,,,,,
M. Court,1979,30.14833333,21.88666667,73.62583333,195,3.76,,1.288333333,,,,,,
Madaripur,1979,30.93333333,21.2125,76.72583333,156.3333333,3.576666667,,0.818333333,,,,,,
Mongla,1979,,,,0,,,,,,,,,
Mymensingh,1979,30.8525,20.91333333,76.28416667,79.83333333,3.349166667,7.223333333,1.444166667,628310,361440,722490,328815,268810,773120
Patuakhali,1979,30.7925,22.05,81.15166667,203.5833333,3.403333333,,1.273333333,621120,311795,140565,49670,1055,1340
Rajshahi,1979,30.92916667,21.2,71.575,129,2.689166667,7.76,1.598333333,1061840,485010,483970,171035,64315,181982
Rangamati,1979,30.44416667,22.72416667,78.99,217,3.738333333,,1.479166667,,,,,,
Rangpur,1979,27.46833333,20.11,71.575,170.6666667,2.690833333,6.658333333,0.926666667,1289800,729100,996550,349205,370100,1250675
Sandwip,1979,30.1375,21.4525,83.26416667,218.25,2.8825,,1.355833333,,,,,,
Satkhira,1979,31.80666667,22.7225,69.49,97.83333333,3.175,,0.861666667,,,,,,
Sitakunda,1979,30.285,21.9075,73.97333333,51.83333333,3.381666667,7.181666667,1.570833333,,,,,,
Srimongal,1979,31.23416667,20.27333333,83.5275,166.0833333,0.814166667,,0.5175,,,,,,
Syedpur,1979,,,,0,,,,,,,,,
Sylhet,1979,29.81916667,20.24583333,76.765,330.3333333,3.928333333,6.8925,1.974166667,947345,466480,387890,182770,8015,16030
Tangail,1979,,,,0,,,,454415,216325,290100,121060,145290,445830
Teknaf,1979,30.1125,22.11166667,73.42666667,91.58333333,3.5125,7.521666667,2.139166667,,,,,,
Ambagan,1980,,,,0,,,,,,,,,
Barisal,1980,30.395,21.17,81.58416667,159.9166667,3.4425,7.128333333,0.991666667,962920,418845,441125,158180,,
Bhola,1980,30.21083333,21.855,81.2075,250.1666667,3.460833333,,0.6225,,,,,,
Bogra,1980,30.77916667,20.91166667,75.20583333,134.6666667,3.095,7.516666667,1.08,632710,349095,260115,106790,,
Chandpur,1980,30.25833333,21.62083333,79.04333333,160.1666667,2.909166667,5.7375,1.028333333,,,,,,
Chittagong,1980,29.84166667,21.27666667,77.16583333,236,3.455,7.206666667,3.663333333,608535,422545,187360,106850,,
Chuadanga,1980,,,,0,,,,,,,,,
Comilla,1980,29.83916667,20.92416667,79.19416667,174.4166667,2.746666667,,1.5775,914885,482810,470095,215295,,
Cox's Bazar,1980,30.09333333,21.72166667,79.8675,121.0833333,3.43,7.451666667,1.731666667,,,,,,
Dhaka,1980,30.27083333,21.3825,75.86916667,184.8333333,3.475833333,6.988333333,1.146666667,696170,332765,376830,149470,,
Dinajpur,1980,29.87166667,20.08833333,74.2325,144,2.9175,,0.7275,850635,433165,441005,163610,,
Faridpur,1980,29.965,21.5725,78.07833333,172.6666667,2.804166667,,0.940833333,660130,206400,531140,122995,,
Feni,1980,30.58416667,21.81416667,77.4775,126.1666667,3.244166667,,0.490833333,,,,,,
Hatiya,1980,29.2525,22.68666667,78.76416667,263.1666667,3.3,,1.986666667,,,,,,
Ishurdi,1980,30.79,20.64583333,73.19416667,121.3333333,3.290833333,,1.97,,,,,,
Jessore,1980,31.14166667,21.1275,74.07666667,113.1666667,3.73,6.636666667,2.896666667,645155,307630,577205,207870,,
Khepupara,1980,29.97833333,22.51083333,74.80333333,217.3333333,3.874166667,,2.419166667,,,,,,
Khulna,1980,30.4825,22.24916667,81.33083333,152.5,3.075833333,,1.075,977685,495335,106240,46675,,
Kutubdia,1980,,,81.7375,37.16666667,,,1.9725,,,,,,
M. Court,1980,29.75666667,21.8,76.45833333,218.3333333,3.454166667,,1.1025,,,,,,
Madaripur,1980,30.99833333,21.47166667,73.27416667,157.4166667,3.845,,0.435833333,,,,,,
Mongla,1980,,,,0,,,,,,,,,
Mymensingh,1980,30.05,20.685,69.92333333,193.4166667,4.1725,6.6725,1.91,640370,360075,400835,218210,,
Patuakhali,1980,30.36583333,21.9825,81.15083333,197.5833333,3.7475,,1.46,659360,303785,100545,36588,,
Rajshahi,1980,30.80666667,20.92416667,74.10833333,131.3333333,2.835,6.9425,1.618333333,1045610,471925,429340,131785,,
Rangamati,1980,30.06833333,22.38083333,78.77083333,271.0833333,3.725,,1.57,69010,301500,77445,27280,,
Rangpur,1980,29.17083333,20.51416667,75.90666667,176.6666667,3.195,7.036666667,0.879166667,1341590,797575,884060,272940,,
Sandwip,1980,29.97166667,21.69416667,79.68083333,333.3333333,3.219166667,,1.469166667,,,,,,
Satkhira,1980,31.00666667,21.895,76.90916667,114.25,2.641666667,,1.189166667,,,,,,
Sitakunda,1980,29.45833333,21.74083333,76.4925,50,3.409166667,6.141666667,1.555833333,,,,,,
Srimongal,1980,30.71916667,19.42666667,81.36,194.9166667,1.203333333,,0.516666667,,,,,,
Syedpur,1980,,,,0,,,,,,,,,
Sylhet,1980,29.42916667,20.21916667,77.85916667,273.3333333,4.0875,6.9725,1.028333333,1098550,492030,374035,156070,,
Tangail,1980,,,,0,,,,437225,194375,290300,118935,,
Teknaf,1980,29.8925,21.88666667,74.035,110.0833333,3.704166667,7.419166667,1.735833333,,,,,,
Ambagan,1981,,,,0,,,,,,,,,
Barisal,1981,29.6825,20.945,81.74833333,193.5,3.730833333,6.503333333,0.8125,926545,455425,494995,225875,,
Bhola,1981,29.69,21.37666667,81.905,221.9166667,3.689166667,5.586666667,0.630833333,,,,,,
Bogra,1981,30.0475,20.5875,77.255,144.9166667,3.213333333,7.428333333,1.055833333,623220,389105,258430,133915,,
Chandpur,1981,29.71166667,21.19916667,80.56416667,233.4166667,4.0375,5.886666667,0.621666667,,,,,,
Chittagong,1981,29.74416667,21.17583333,77.57916667,206.5,3.8225,6.450833333,3.274166667,554020,439475,178215,118335,,
Chuadanga,1981,,,,0,,,,,,,,,
Comilla,1981,29.275,20.47833333,78.98416667,183.1666667,3.135,6.881666667,1.151666667,915980,505480,460465,217225,,
Cox's Bazar,1981,29.68833333,21.48583333,79.34666667,254.3333333,3.5675,6.83,1.260833333,,,,,,
Dhaka,1981,30.03166667,21.17666667,75.1575,155.4166667,3.759166667,6.770833333,0.968333333,655420,337585,432070,162670,,
Dinajpur,1981,30.29333333,20.01166667,74.24,176.4166667,3.559166667,,1.9475,884660,497605,483205,187700,,
Faridpur,1981,29.625,21.0875,78.59666667,217,2.783333333,,0.83,686535,193680,427805,121725,,
Feni,1981,30.03666667,21.03083333,78.79833333,276.9166667,3.576666667,,1.088333333,,,,,,
Hatiya,1981,29.05666667,22.29583333,80.37166667,242.5833333,3.508333333,,1.9,,,,,,
Ishurdi,1981,29.80666667,20.18,75.815,186.75,3.456666667,,1.348333333,,,,,,
Jessore,1981,30.6225,20.57166667,76.96666667,156.5833333,4.065,6.293333333,2.055,668185,293055,574185,224330,,
Khepupara,1981,29.4025,21.5625,75.975,185.75,4.05,,1.418333333,,,,,,
Khulna,1981,29.88666667,21.39,81.295,172.5,3.319166667,,1.860833333,989470,508675,176710,80420,,
Kutubdia,1981,,,81.73416667,214.3333333,,,1.794166667,,,,,,
M. Court,1981,28.98333333,21.205,77.83916667,300.8333333,2.980833333,,0.734166667,,,,,,
Madaripur,1981,30.43666667,21.00833333,76.72583333,184.4166667,3.995833333,,0.5925,,,,,,
Mongla,1981,,,,0,,,,,,,,,
Mymensingh,1981,29.86,20.655,69.97333333,182.25,4.070833333,6.491666667,1.723333333,648460,379105,423400,233880,,
Patuakhali,1981,29.515,21.8825,76.745,180.9166667,4.081666667,,2.300833333,685735,336925,179930,73860,,
Rajshahi,1981,30.8725,20.08583333,76.35416667,186.75,3.121666667,7.629166667,1.370833333,1087435,515835,313970,113980,,
Rangamati,1981,29.7175,21.75916667,78.5475,174.9166667,4.073333333,,1.4775,60425,54790,73035,33470,,
Rangpur,1981,29.525,19.94083333,80.17166667,159.6666667,3.265833333,7.788333333,0.8975,1395255,851910,819000,291190,,
Sandwip,1981,29.52416667,22.3425,82.57916667,286.6666667,3.425,,1.125833333,,,,,,
Satkhira,1981,30.05666667,21.25583333,73.3375,172.75,3.7275,,1.8675,,,,,,
Sitakunda,1981,29.59083333,20.94416667,76.01333333,163.75,3.346666667,5.6325,1.0875,,,,,,
Srimongal,1981,30.4,19.34666667,81.37166667,180.3333333,3.295833333,,0.5175,,,,,,
Syedpur,1981,,,,0,,,,,,,,,
Sylhet,1981,29.43166667,20.29833333,77.64833333,361.0833333,4.1625,6.810833333,1.040833333,1142490,568470,422195,206060,,
Tangail,1981,,,,0,,,,454715,197820,363300,113505,,
Teknaf,1981,29.75166667,21.73083333,76.1575,363.8333333,4.114166667,7.5975,1.2575,,,,,,
Ambagan,1982,,,,0,,,,,,,,,
Barisal,1982,30.215,20.91833333,79.6175,155.6666667,3.226666667,7.46,0.805833333,922570,405310,374880,146055,9130,16045
Bhola,1982,30.07333333,21.55333333,81.34333333,125.0833333,3.051666667,5.984166667,0.643333333,,,,,,
Bogra,1982,30.42083333,20.54583333,75.20416667,101.9166667,2.909166667,7.123333333,1.1025,620545,351155,263170,118860,52770,177300
Chandpur,1982,30.185,21.21666667,79.93666667,264,3.419166667,5.553333333,0.605,,,,,,
Chittagong,1982,29.72083333,21.30666667,77.02166667,229.75,3.1725,7.094166667,3.019166667,551645,352320,217485,136245,,
Chuadanga,1982,,,,0,,,,,,,,,
Comilla,1982,29.78083333,20.37833333,78.95166667,182.0833333,2.830833333,7.329166667,1.1375,912050,441920,488535,229245,79060,285405
Cox's Bazar,1982,30.01583333,21.32,78.12,308.6666667,3.016666667,7.944166667,1.463333333,,,,,,
Dhaka,1982,30.34583333,21.12416667,75.47916667,150.4166667,3.365833333,6.7675,1.095833333,652610,315175,417890,179105,128770,452640
Dinajpur,1982,30.08583333,19.43416667,70.09833333,111.8333333,3.070833333,,0.719166667,880865,442845,416430,161180,47485,166130
Faridpur,1982,30.19416667,21.09166667,76.89166667,117.5,1.900833333,,0.788333333,683590,210275,517000,140710,152210,427975
Feni,1982,30.16333333,20.78666667,78.71833333,282.25,3.790833333,,1.334166667,,,,,,
Hatiya,1982,29.55833333,22.52916667,78.80916667,205.25,2.990833333,,1.554166667,,,,,,
Ishurdi,1982,30.89166667,20.12416667,72.53,104.4166667,2.5925,,1.178333333,,,,,,
Jessore,1982,31.49833333,20.55916667,75.28333333,107.9166667,3.669166667,6.294166667,2.199166667,665235,267640,538100,205425,161295,510705
Khepupara,1982,30.03166667,22.16833333,75.98833333,210.8333333,3.578333333,,1.9775,,,,,,
Khulna,1982,30.54333333,21.45333333,79.18666667,115,2.766666667,,1.355833333,985225,465370,114030,46170,24200,72100
Kutubdia,1982,,,81.73416667,214.3333333,,,1.794166667,,,,,,
M. Court,1982,29.58333333,20.41166667,74.09916667,299.25,3.100833333,,0.926666667,,,,,,
Madaripur,1982,30.97916667,20.57333333,72.88416667,162.4166667,3.485833333,,0.57,,,,,,
Mongla,1982,,,,0,,,,,,,,,
Mymensingh,1982,29.96916667,20.67583333,69.12833333,196.1666667,3.66,6.0075,1.565,645685,312085,450075,246965,117035,393455
Patuakhali,1982,30.035,22.3125,74.05083333,187.3333333,3.603333333,,2.09,682795,313075,168495,59075,1095,1820
Rajshahi,1982,31.2725,20.3375,74.78916667,91.91666667,2.67,7.010833333,1.4925,1082770,513660,462170,181885,29160,100290
Rangamati,1982,29.87583333,22.28,79.22,156.5,4.1125,,1.68,87095,50380,75655,35660,425,970
Rangpur,1982,29.42916667,20.02583333,75.785,183.4166667,3.0175,7.320833333,1.0025,1389270,821520,880780,325090,272740,948240
Sandwip,1982,29.60166667,22.125,78.92083333,285,2.9725,,1.54,,,,,,
Satkhira,1982,31.03916667,21.425,69.78583333,113.3333333,3.154166667,,2.285833333,,,,,,
Sitakunda,1982,29.83416667,21.02333333,75.10166667,212.9166667,2.795833333,5.431666667,1.029166667,,,,,,
Srimongal,1982,31.0825,19.23,83.81,184.25,0.278333333,,0.5175,,,,,,
Syedpur,1982,,,,0,,,,,,,,,
Sylhet,1982,29.39,20.0275,77.83166667,352.75,3.885833333,6.645833333,1.118333333,1137590,509035,502330,250510,8885,28875
Tangail,1982,,,,0,,,,452765,184640,313615,105320,67190,191995
Teknaf,1982,29.90583333,21.84166667,71.94333333,344.1666667,3.2125,8.165833333,1.034166667,,,,,,
Ambagan,1983,,,,0,,,,,,,,,
Barisal,1983,30.3825,21.1475,82.90916667,192.6666667,3.789166667,6.85,0.958333333,920925,424030,412110,170275,7185,12405
Bhola,1983,30.07666667,21.70666667,83.78,260,3.585833333,5.39,0.7025,,,,,,
Bogra,1983,30.41833333,20.51333333,75.11666667,147.3333333,2.918333333,6.763333333,1.115,636145,356310,254580,116215,48425,167045
Chandpur,1983,30.20166667,21.62333333,81.29666667,296.9166667,3.275,5.265833333,0.4725,,,,,,
Chittagong,1983,29.70416667,21.19833333,78.31166667,294.75,4.1075,6.795,3.173333333,549115,403695,189495,114730,,
Chuadanga,1983,,,,0,,,,,,,,,
Comilla,1983,29.96333333,21.13083333,80.375,190.5,3.6825,6.571666667,1.469166667,925195,494835,488145,233480,75450,275390
Cox's Bazar,1983,29.70166667,22.04916667,81.71583333,346.1666667,4.014166667,6.898333333,1.795,,,,,,
Dhaka,1983,30.135,21.42083333,77.20583333,199,3.884166667,6.801666667,1.233333333,650250,315055,405185,181500,121630,424715
Dinajpur,1983,29.68,18.97,70.04083333,175,3.064166667,,0.77,875150,453675,381675,160800,45095,150990
Faridpur,1983,30.05,21.545,77.50166667,187.5833333,2.470833333,,0.670833333,714790,227050,542225,146155,168000,485200
Feni,1983,29.50166667,21.09666667,81.92333333,208.8333333,4.473333333,,1.399166667,,,,,,
Hatiya,1983,29.17083333,22.085,81.07333333,312,3.696666667,,2.28,,,,,,
Ishurdi,1983,30.91666667,20.19583333,72.445,140.25,3.239166667,,1.4125,,,,,,
Jessore,1983,31.5025,20.89833333,76.58583333,154,3.798333333,6.321666667,2.410833333,651930,291130,516390,172050,166630,565155
Khepupara,1983,29.73916667,22.09,78.5675,204.3333333,4.021666667,,1.9675,,,,,,
Khulna,1983,30.21666667,21.24916667,81.93,192.5833333,3.635833333,,2.595,989970,493190,124055,57430,28855,100735
Kutubdia,1983,,,81.73416667,214.3333333,,,1.794166667,,,,,,
M. Court,1983,29.42666667,21.03833333,77.94833333,360.3333333,3.535,,1.12,,,,,,
Madaripur,1983,30.52416667,20.36416667,77.00916667,167.5,2.514166667,,0.339166667,,,,,,
Mongla,1983,,,,0,,,,,,,,,
Mymensingh,1983,29.58,20.66416667,72.16,236.6666667,3.871666667,6.088333333,1.559166667,649100,350950,478370,227570,106540,366615
Patuakhali,1983,30.02666667,22.20833333,76.65416667,316.9166667,3.956666667,,2.380833333,688520,328275,157170,68120,1080,1675
Rajshahi,1983,30.93,20.0825,74.31,135.75,3.016666667,7.106666667,2.785,1061115,508275,360350,117665,39610,142410
Rangamati,1983,29.4775,22.13833333,76.5925,219.0833333,4.338333333,,1.35,81320,54360,64535,25790,250,530
Rangpur,1983,29.0775,19.44,77.50583333,186.5,3.169166667,6.94,0.8625,1381250,852665,932190,315835,269615,988000
Sandwip,1983,28.7125,22.08333333,83.50333333,343,3.48,,1.2825,,,,,,
Satkhira,1983,30.75583333,21.17333333,72.01083333,150,3.608333333,,3.104166667,,,,,,
Sitakunda,1983,29.2675,21.29,77.62083333,259,3.6,4.8725,1.424166667,,,,,,
Srimongal,1983,30.79916667,19.6425,81.37166667,262.9166667,1.958333333,,0.5175,,,,,,
Syedpur,1983,,,,0,,,,,,,,,
Sylhet,1983,29.32,20.09416667,78.29916667,401.8333333,4.305833333,6.56,0.944166667,1142050,525610,501775,199785,7085,16650
Tangail,1983,,,,0,,,,439180,200940,306635,109590,61875,209790
Teknaf,1983,29.73166667,22.13416667,77.11083333,323.25,3.772727273,7.226666667,1.01,,,,,,
Ambagan,1984,,,,0,,,,,,,,,
Barisal,1984,30.29,20.735,84.53666667,220.75,4.025833333,6.670833333,0.928333333,933275,455880,442275,189065,6970,13380
Bhola,1984,30.33666667,21.11,82.22916667,212.4166667,3.446666667,5.356666667,0.708333333,,,,,,
Bogra,1984,30.31083333,20.56083333,77.15916667,191.9166667,3.015833333,6.700833333,1.206666667,644675,389345,246355,110890,36405,121210
Chandpur,1984,29.76166667,19.7725,79.90333333,305.5,3.133333333,5.55,0.6575,,,,,,
Chittagong,1984,29.99083333,20.9225,78.31916667,214.6666667,3.8175,6.95,3.685833333,556480,408530,183810,116210,,
Chuadanga,1984,,,,0,,,,,,,,,
Comilla,1984,30.23833333,20.54083333,79.34166667,203.25,3.330833333,6.58,2.335,926855,493810,478180,235975,72455,292720
Cox's Bazar,1984,29.605,22.03916667,80.8875,302.6666667,3.5275,6.555833333,2.3275,,,,,,
Dhaka,1984,30.4775,21.6725,74.85416667,252.3333333,3.726666667,6.7025,0.9825,648480,312090,428525,192720,116205,425560
Dinajpur,1984,29.56,19.23,71.4175,180.4166667,3.265,,0.925,880805,498180,426560,192885,42690,142855
Faridpur,1984,30.365,20.6725,76.9875,212,2.965,,1.234166667,683225,237730,545530,157765,174165,585160
Feni,1984,29.80583333,20.70333333,80.43333333,276.25,3.966666667,,1.176666667,,,,,,
Hatiya,1984,29.4825,21.235,78.75666667,260.1666667,3.630833333,,2.011666667,,,,,,
Ishurdi,1984,30.89666667,20.33083333,72.145,141.5,3.378333333,,1.469166667,,,,,,
Jessore,1984,31.30583333,20.59083333,75.6425,169.25,3.634166667,5.9125,2.63,654045,327780,510865,165360,170555,571730
Khepupara,1984,30.035,21.8,78.3975,102.5833333,3.755,,2.1,,,,,,
Khulna,1984,30.77916667,20.855,84.135,180.9166667,4.238333333,6.839166667,2.826666667,1003265,520440,124525,57070,31515,122320
Kutubdia,1984,,,81.7375,214.3333333,,7.516666667,1.795,,,,,,
M. Court,1984,29.66166667,20.58,80.50416667,399.9166667,3.280833333,,1.145833333,,,,,,
Madaripur,1984,30.79583333,21.04166667,73.205,154.1666667,3.004166667,,0.655833333,,,,,,
Mongla,1984,,,,0,,,,,,,,,
Mymensingh,1984,29.57166667,20.4925,75.49166667,223.25,3.878333333,5.725833333,1.54,644795,342825,472820,228020,108435,432370
Patuakhali,1984,30.19833333,21.905,78.775,197,3.5275,,2.38,697755,365480,183135,80915,1125,1820
Rajshahi,1984,30.99,20.2,75.52916667,131.25,3.184166667,6.9325,2.309166667,1066310,551660,532165,196795,47710,162130
Rangamati,1984,30.18583333,20.13166667,76.17333333,182.5,3.830833333,,0.815,72070,49485,59070,29905,250,585
Rangpur,1984,29.32083333,19.56416667,80.73333333,312.3333333,3.334166667,6.403333333,1.339166667,1385700,871875,820325,275110,275325,1029050
Sandwip,1984,28.8225,21.88083333,83.10166667,219.8333333,3.514166667,,1.794166667,,,,,,
Satkhira,1984,31.51833333,20.78833333,70.42416667,154.4166667,3.84,7.209166667,4.258333333,,,,,,
Sitakunda,1984,29.46916667,20.87583333,75.0275,298.5,3.860833333,5.099166667,1.995833333,,,,,,
Srimongal,1984,30.3,19.85666667,74.35416667,203.6666667,0,,0.516666667,,,,,,
Syedpur,1984,,,,0,,,,,,,,,
Sylhet,1984,29.86833333,19.7825,77.42583333,348.8333333,4.015833333,6.3825,1.005833333,1157365,564415,476845,175600,5380,11515
Tangail,1984,,,,0,,,,428845,201840,241475,92330,74365,280465
Teknaf,1984,30.10416667,21.69583333,73.725,342.1666667,4.075,7.084166667,1.105,,,,,,
Ambagan,1985,,,,0,,,,,,,,,
Barisal,1985,30.81666667,21.19416667,85.84666667,137.0833333,3.905833333,6.888333333,1.058333333,921770,482515,439460,144967,6690,11715
Bhola,1985,30.74416667,21.59333333,82.63,133.25,3.426666667,5.5175,0.611666667,,,,,,
Bogra,1985,30.7125,20.81083333,76.36083333,141.0833333,3.003333333,6.974166667,1.164166667,617840,425525,217360,94717,41250,119715
Chandpur,1985,30.2425,21.07583333,81.28916667,221.8333333,2.6975,5.5175,0.639166667,,,,,,
Chittagong,1985,30.0925,21.42666667,79.09583333,247.6666667,3.615,7.374166667,4.02,552520,422680,180025,110965,,
Chuadanga,1985,,,,0,,,,,,,,,
Comilla,1985,30.51916667,21.00416667,80.4975,136.75,3.3725,6.596666667,1.620833333,877415,482465,406795,178169,75345,286310
Cox's Bazar,1985,29.76416667,22.08,79.6425,294,3.524166667,6.983333333,2.213333333,,,,,,
Dhaka,1985,31.01416667,22.04,75.375,171.0833333,3.769166667,6.985,1.0375,634450,301180,385010,159694,131390,437190
Dinajpur,1985,30.07916667,20.05166667,70.00166667,174.75,3.178333333,,0.991666667,870395,529000,433295,194113,61015,179345
Faridpur,1985,30.94583333,21.2175,78.20916667,123.5,2.841666667,6.7175,1.324166667,537420,185825,467190,107464,207775,518470
Feni,1985,30.00666667,21.02833333,80.62666667,256.8333333,4.291666667,6.473333333,1.340833333,,,,,,
Hatiya,1985,29.805,21.10666667,79.49416667,234.75,3.8075,6.045,2.211666667,,,,,,
Ishurdi,1985,31.505,20.46416667,71.43666667,98.16666667,3.23,7.003333333,1.470833333,,,,,,
Jessore,1985,31.70833333,21.24666667,76.47083333,131.3333333,3.625833333,6.2525,2.130833333,516120,322345,443880,161406,187125,504520
Khepupara,1985,30.45583333,21.97,81.73916667,76.91666667,3.660833333,,1.354166667,,,,,,
Khulna,1985,31.38166667,21.445,82.5225,111.8333333,3.996666667,7.039166667,2.523333333,1011125,622720,73860,28084,48740,170390
Kutubdia,1985,28.88,21.99416667,81.7825,229.0833333,3.981666667,7.220833333,2.528333333,,,,,,
M. Court,1985,30.01416667,21.31666667,81.09583333,226.4166667,3.250833333,6.591666667,1.271666667,,,,,,
Madaripur,1985,31.3575,21.295,72.87333333,193.4166667,3.094166667,,0.613333333,,,,,,
Mongla,1985,,,,0,,,,,,,,,
Mymensingh,1985,29.91833333,20.915,75.63083333,129.9166667,3.925833333,5.914166667,1.58,651985,373395,473915,215394,112300,380850
Patuakhali,1985,30.515,22.3925,83.30083333,135.0833333,3.725,5.305,1.793333333,721875,363885,186595,57150,990,1535
Rajshahi,1985,31.3525,20.23,76.48583333,104.3333333,3.089166667,7.041666667,1.995,1013430,525265,520520,180072,63170,189510
Rangamati,1985,30.2775,21.38666667,76.345,159.9166667,3.8025,,0.8325,15540,13305,15500,9353,135,310
